날짜,총 예매인원
2009-09-19,149822
2009-09-20,117850
2009-09-21,41212
2009-09-22,40500
2009-09-23,38912
2009-09-24,85180
2009-09-25,96118
2009-09-26,189143
2009-09-27,162665
2009-09-28,55253
2009-09-29,58738
2009-09-30,75489
2009-10-01,162115
2009-10-02,187587
2009-10-03,213938
2009-10-04,219558
2009-10-05,124846
2009-10-06,47751
2009-10-07,44531
2009-10-08,46490
2009-10-09,59708
2009-10-10,130914
2009-10-11,103064
2009-10-12,37309
2009-10-13,37008
2009-10-14,34594
2009-10-15,53501
2009-10-16,60648
2009-10-17,143771
2009-10-18,104841
2009-10-19,34445
2009-10-20,34410
2009-10-21,33951
2009-10-22,58630
2009-10-23,80238
2009-10-24,150432
2009-10-25,127584
2009-10-26,47931
2009-10-27,48045
2009-10-28,57043
2009-10-29,61049
2009-10-30,80847
2009-10-31,175474
2009-11-01,141740
2009-11-02,45911
2009-11-03,44538
2009-11-04,44984
2009-11-05,48657
2009-11-06,64106
2009-11-07,140181
2009-11-08,121547
2009-11-09,37686
2009-11-10,36335
2009-11-11,66451
2009-11-12,135191
2009-11-13,137506
2009-11-14,243342
2009-11-15,212386
2009-11-16,82461
2009-11-17,76410
2009-11-18,76330
2009-11-19,85143
2009-11-20,104622
2009-11-21,222792
2009-11-22,192715
2009-11-23,67996
2009-11-24,67925
2009-11-25,68111
2009-11-26,96312
2009-11-27,118615
2009-11-28,241140
2009-11-29,207677
2009-11-30,80460
2009-12-01,71343
2009-12-02,92273
2009-12-03,99495
2009-12-04,118829
2009-12-05,234631
2009-12-06,206586
2009-12-07,74548
2009-12-08,72769
2009-12-09,69572
2009-12-10,96786
2009-12-11,114717
2009-12-12,225460
2009-12-13,184776
2009-12-14,71284
2009-12-15,73531
2009-12-16,81932
2009-12-17,110958
2009-12-18,129263
2009-12-19,242583
2009-12-20,241647
2009-12-21,105590
2009-12-22,110280
2009-12-23,157331
2009-12-24,287601
2009-12-25,412882
2009-12-26,341961
2009-12-27,275793
2009-12-28,145861
2009-12-29,150935
2009-12-30,162731
2009-12-31,247004
2010-01-01,340033
2010-01-02,346666
2010-01-03,277643
2010-01-04,107283
2010-01-05,103927
2010-01-06,97455
2010-01-07,105566
2010-01-08,125131
2010-01-09,265606
2010-01-10,246913
2010-01-11,96084
2010-01-12,98328
2010-01-13,92682
2010-01-14,93458
2010-01-15,114777
2010-01-16,240575
2010-01-17,213862
2010-01-18,81580
2010-01-19,80685
2010-01-20,79876
2010-01-21,87507
2010-01-22,99656
2010-01-23,217082
2010-01-24,198654
2010-01-25,79614
2010-01-26,83741
2010-01-27,77754
2010-01-28,101671
2010-01-29,114996
2010-01-30,219121
2010-01-31,192719
2010-02-01,75945
2010-02-02,73215
2010-02-03,71144
2010-02-04,93546
2010-02-05,105639
2010-02-06,211785
2010-02-07,195762
2010-02-08,75892
2010-02-09,78035
2010-02-10,76387
2010-02-11,116984
2010-02-12,182155
2010-02-13,246159
2010-02-14,241261
2010-02-15,320268
2010-02-16,159470
2010-02-17,96246
2010-02-18,93267
2010-02-19,105290
2010-02-20,221124
2010-02-21,188009
2010-02-22,76505
2010-02-23,75913
2010-02-24,68900
2010-02-25,78124
2010-02-26,80914
2010-02-27,158997
2010-02-28,190264
2010-03-01,196163
2010-03-02,41451
2010-03-03,38287
2010-03-04,58208
2010-03-05,73430
2010-03-06,176845
2010-03-07,168581
2010-03-08,44902
2010-03-09,42049
2010-03-10,44217
2010-03-11,46424
2010-03-12,65180
2010-03-13,183990
2010-03-14,165497
2010-03-15,41559
2010-03-16,37646
2010-03-17,37889
2010-03-18,56757
2010-03-19,72202
2010-03-20,177550
2010-03-21,168861
2010-03-22,40618
2010-03-23,43128
2010-03-24,42801
2010-03-25,51339
2010-03-26,68036
2010-03-27,167741
2010-03-28,141376
2010-03-29,37843
2010-03-30,39570
2010-03-31,45413
2010-04-01,72716
2010-04-02,80056
2010-04-03,196512
2010-04-04,165636
2010-04-05,46845
2010-04-06,41786
2010-04-07,41399
2010-04-08,42993
2010-04-09,59818
2010-04-10,152746
2010-04-11,119466
2010-04-12,33808
2010-04-13,35098
2010-04-14,33354
2010-04-15,40038
2010-04-16,50436
2010-04-17,128892
2010-04-18,91626
2010-04-19,35723
2010-04-20,30591
2010-04-21,33293
2010-04-22,44604
2010-04-23,60843
2010-04-24,121004
2010-04-25,102628
2010-04-26,38099
2010-04-27,43910
2010-04-28,65924
2010-04-29,137357
2010-04-30,157980
2010-05-01,275851
2010-05-02,234137
2010-05-03,78010
2010-05-04,113936
2010-05-05,298422
2010-05-06,65254
2010-05-07,79177
2010-05-08,155529
2010-05-09,145569
2010-05-10,44971
2010-05-11,45962
2010-05-12,42607
2010-05-13,100435
2010-05-14,116288
2010-05-15,229035
2010-05-16,184330
2010-05-17,72115
2010-05-18,79551
2010-05-19,74381
2010-05-20,107067
2010-05-21,264100
2010-05-22,233953
2010-05-23,204874
2010-05-24,64777
2010-05-25,59408
2010-05-26,61344
2010-05-27,71591
2010-05-28,86037
2010-05-29,210400
2010-05-30,193246
2010-05-31,65117
2010-06-01,81377
2010-06-02,238356
2010-06-03,68989
2010-06-04,96342
2010-06-05,219310
2010-06-06,191274
2010-06-07,66327
2010-06-08,65749
2010-06-09,66118
2010-06-10,85080
2010-06-11,100596
2010-06-12,138176
2010-06-13,184834
2010-06-14,70189
2010-06-15,66101
2010-06-16,83826
2010-06-17,39563
2010-06-18,108417
2010-06-19,247993
2010-06-20,200579
2010-06-21,78319
2010-06-22,73232
2010-06-23,64122
2010-06-24,91291
2010-06-25,103511
2010-06-26,147259
2010-06-27,175939
2010-06-28,79506
2010-06-29,76413
2010-06-30,80297
2010-07-01,113308
2010-07-02,133436
2010-07-03,280699
2010-07-04,252041
2010-07-05,88874
2010-07-06,89689
2010-07-07,130772
2010-07-08,111778
2010-07-09,129095
2010-07-10,301686
2010-07-11,248113
2010-07-12,73255
2010-07-13,75649
2010-07-14,99261
2010-07-15,102921
2010-07-16,122719
2010-07-17,256885
2010-07-18,231002
2010-07-19,89228
2010-07-20,90494
2010-07-21,133313
2010-07-22,134903
2010-07-23,157600
2010-07-24,302000
2010-07-25,275861
2010-07-26,127894
2010-07-27,129081
2010-07-28,146823
2010-07-29,171828
2010-07-30,197992
2010-07-31,339313
2010-08-01,296175
2010-08-02,200729
2010-08-03,187493
2010-08-04,177021
2010-08-05,192840
2010-08-06,208094
2010-08-07,340392
2010-08-08,302998
2010-08-09,150648
2010-08-10,146979
2010-08-11,141333
2010-08-12,156337
2010-08-13,177300
2010-08-14,309396
2010-08-15,276872
