"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		201",강화,Sep-21,21.3,26.1,29,2021-09-14,17.2,14.2,2021-09-24
"		201",강화,Oct-21,,,26.8,2021-10-03,,13.6,2021-10-10
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
